FISCAL YEAR,TOTAL NO. OF DECISIONS,DUTY DRAW BACK CUSTOM (In Rupees),DUTY DRAW BACK PREMIUM (In Rupees),DUTY DRAW BACK EXCISE (In Rupees),DUTY DRAW BACK SALES TAX (In Rupees),DUTY DRAW BACK TOTAL AMOUNT (In Rupees)
2051/52,719,5102315,47846,35835,967296,6153292
2052/53,722,13613217,103382,0,6966744,20683343
2053/54,482,24999958,0,0,0,24999958
2054/55,129,22576702,0,0,1209643,23786345
2055/56,316,50273147,0,481847,1168451,51923445
2056/57,367,82181698,0,0,0,82181698
2057/58,409,155700796,0,0,0,155700796
2058/59,846,409859971,0,0,0,409859971
2059/60,415,324705649,0,0,0,324705649
2060/61,200,147949365.9,0,0,0,147949365.9
2061/62,126,80774966,0,0,0,80774966
2062/63,20,5725641,0,0,0,5725641
2063/64,240,229163790,0,0,0,229163790
2064/65,448,437815174,0,0,128097,437943271
2064/65,333,343176088,0,0,128097,343304185
2065/66,,164281721,0,0,0,164281721
2066/67,,51071670,0,0,0,51071670
2067/68,22,64036952,0,0,0,64036952
2068/69,44,88508652,0,0,0,88508652
2069/70,22,24332031,,,,24332031
2070/71,43,185275278,,23108273,,208383551
2071/72,47,136894027,,,,136894027
2072/73,,,,,,
